l1,l2,h1,w1,Lmt,Lmr,Llk,Rt,Rr
28,87,135,194,1.446602016,1.446334479,2.526379977,29.47676079,29.47415822
28,53,143,126,1.051103811,1.051137385,2.150702576,19.84676164,19.84492801
35,56,142,34,0.342256877,0.342295895,1.404024089,5.039722633,5.039741888
18,87,75,177,1.172183077,1.171947679,2.484668355,18.96502171,18.96352223
20,98,77,164,1.10966643,1.109379303,2.542668443,18.41157575,18.40961544
42,96,120,181,1.933072331,1.932703817,2.659437124,51.38355556,51.37787789
14,73,60,50,0.320317881,0.320393914,1.540725619,4.191067658,4.190929847
27,85,136,58,0.424059789,0.423947127,1.519238256,6.701101609,6.700700912
30,73,138,75,0.62338508,0.623276603,1.715696334,10.83550521,10.83472827
49,62,59,122,2.26067366,2.260595092,2.514784099,57.05670076,57.05145011
39,76,54,86,1.29634559,1.29618061,2.290375262,25.28585145,25.28322143
40,67,143,199,2.088611708,2.088326488,2.688427893,56.28905936,56.28442581
37,89,89,160,1.803812965,1.803489384,2.62657148,41.87370997,41.8688505
37,50,99,82,1.076555894,1.076641144,2.012019761,20.84459894,20.84293847
49,60,132,96,1.283329542,1.283236801,2.178300861,30.72899779,30.72631352
36,79,111,72,0.764940544,0.764879777,1.834792418,13.97418466,13.97299347
29,55,141,157,1.335629533,1.335551179,2.391225971,27.19275938,27.19052323
33,79,80,75,0.848228004,0.848134274,1.979035531,15.10473322,15.10332667
19,74,54,86,0.732471767,0.732430326,1.947941607,10.82745575,10.82636417
47,91,53,119,1.897574711,1.897237564,2.52030999,45.92847851,45.92366415
31,54,95,66,0.758093786,0.758138194,1.663589421,12.74048001,12.7397905
31,79,123,147,1.2973926,1.29720042,2.3289003,26.86225496,26.85985841
36,71,140,55,0.535953543,0.535928647,1.659967124,9.114226379,9.113601993
35,69,102,39,0.442955095,0.442985796,1.620892599,6.748715348,6.748572676
18,66,122,49,0.290462427,0.290557254,1.369113526,4.008907092,4.008891792
33,60,144,128,1.184700738,1.184644155,2.112512704,24.57141626,24.56911117
12,76,137,199,0.719198753,0.718999668,2.477827018,10.5407463,10.54042965
30,50,121,131,1.294388348,1.294384772,2.28354417,25.64746013,25.64490274
36,86,89,34,0.388866995,0.388820204,1.534709464,5.691706159,5.69174177
34,76,86,37,0.428706158,0.428671315,1.472847949,6.37229409,6.372219073
32,98,81,155,1.55026977,1.549949555,2.533897168,32.12242554,32.11849345
13,51,137,138,0.602550499,0.602606043,2.112150146,8.554214696,8.554084255
28,71,102,175,1.591738866,1.591580035,2.589437809,31.94882315,31.94578261
14,83,123,196,0.837563807,0.837297935,2.44187773,12.51780757,12.51731592
23,61,97,135,1.135445867,1.135404387,2.216211095,19.50652239,19.5049352
42,91,60,133,1.868912877,1.868626802,2.552614599,44.22122228,44.21606085
23,82,112,170,1.196629291,1.196405725,2.302829791,21.33825098,21.3362682
35,52,69,108,1.565469417,1.565534518,2.320272711,31.69243078,31.68891987
10,89,124,43,0.132641498,0.132758759,1.173667256,1.657744252,1.657888581
17,58,120,61,0.359612061,0.359720482,1.585653296,5.045424007,5.045229889
31,67,139,68,0.590846592,0.590776088,1.641766614,10.21022156,10.20957529
42,63,54,82,1.400750567,1.400712995,2.197251913,28.24204868,28.23958661
47,93,96,192,2.483090473,2.48275577,2.992589183,72.88108932,72.87298598
34,91,69,179,2.046284179,2.045941777,2.775672548,45.63262803,45.62680485
11,74,123,141,0.504809242,0.504740107,1.983327525,6.856192015,6.856041308
26,53,75,108,1.188709633,1.188806125,2.13893552,20.79046938,20.78850725
20,59,61,125,1.164562091,1.164571128,2.227012605,18.45028876,18.44858728
12,66,111,193,0.818475551,0.818384364,2.405767073,11.70221932,11.70211334
17,91,123,163,0.805629182,0.8054197,2.228877849,12.48327816,12.48222912
19,58,69,55,0.478351523,0.478489728,1.500646093,6.719318133,6.719048608
17,81,50,105,0.797942545,0.797781481,2.101132148,11.64437156,11.64304181
15,89,123,176,0.781796458,0.781553329,2.241570452,11.75974974,11.75914619
40,60,98,75,1.000001597,0.99998911,1.974658757,19.36647914,19.36510364
44,72,91,148,2.049728431,2.049490801,2.473112345,52.44535838,52.4398883
25,72,82,51,0.470088508,0.470060362,1.540959734,7.019677148,7.019308647
26,95,117,48,0.352179425,0.352102958,1.380752151,5.265624951,5.265290458
21,73,99,87,0.633466545,0.633465836,1.737549094,9.750148646,9.749432591
19,60,113,160,1.048087486,1.048029102,2.389993547,17.33824744,17.33753122
25,72,117,32,0.251695533,0.251736893,1.330992585,3.462211449,3.462178104
14,84,127,139,0.585996862,0.58586531,1.99234257,8.394892468,8.394466542
45,50,132,180,2.32465935,2.324517697,2.886719074,66.8343436,66.82831757
40,59,147,110,1.184257621,1.184138152,2.243493093,26.66886033,26.6661301
32,65,134,151,1.385408979,1.385269934,2.321299789,29.33402803,29.33134495
23,73,54,152,1.522967686,1.522751669,2.592011755,26.35114651,26.34838576
24,62,131,73,0.540863569,0.540904166,1.671936653,8.602110113,8.601523458
46,51,107,153,2.25053763,2.250446374,2.603882298,61.35038503,61.3447285
20,59,67,166,1.478705263,1.478705154,2.576043183,24.69280457,24.69060858
49,71,141,143,1.768815724,1.768603196,2.379603978,49.35277461,49.34801279
23,56,72,98,0.988018977,0.988086376,1.995730255,15.90062068,15.89911037
27,70,76,34,0.353676662,0.353696561,1.411079775,4.964192073,4.964128857
38,71,113,81,0.919108488,0.91904126,2.044868475,17.95121677,17.94945421
12,78,119,135,0.522891868,0.5228347,2.015170446,7.253836523,7.25368809
23,83,140,97,0.612444056,0.612382472,1.743700979,9.897847813,9.89705995
27,51,68,175,2.084032699,2.084016358,2.708465092,41.31969647,41.31608567
35,78,126,71,0.695379616,0.695263406,1.740556302,12.6003517,12.59925425
18,55,50,102,0.969452005,0.969576015,2.151866849,14.44169952,14.44063015
15,84,111,95,0.459014902,0.458982292,1.671232071,6.471603992,6.471185809
16,99,56,94,0.587611312,0.587381753,1.935187749,8.383318933,8.382484689
48,99,90,51,0.686870167,0.68672922,1.952511445,12.29240156,12.29178858
42,65,98,61,0.827560458,0.827512986,1.877089199,15.18634701,15.18554665
35,61,116,68,0.751410739,0.751429406,1.676443604,13.4122424,13.41120732
48,89,105,53,0.698259888,0.698112829,1.948929695,12.74487662,12.74434902
46,97,52,199,3.004365459,3.003689948,3.0371215,84.96633061,84.95707106
25,84,89,114,0.95259337,0.952504673,2.119390594,16.32547389,16.32377865
26,59,88,87,0.860670913,0.860704659,1.929267789,14.57053773,14.56928651
33,83,131,128,1.140682026,1.140552819,2.067035321,23.17848054,23.17588772
21,92,141,67,0.376271309,0.376295491,1.475499585,5.624949642,5.624557406
46,83,141,68,0.771852452,0.771699118,2.011392322,15.5755151,15.57422483
47,85,62,128,2.010712251,2.01040986,2.710573652,50.12168059,50.11624721
24,94,54,99,0.911091964,0.910876668,2.184272131,14.80847383,14.80659096
20,75,57,178,1.520032525,1.519798084,2.879777696,25.68880237,25.68654632
31,97,75,94,0.948640109,0.948485903,2.03555994,17.23896954,17.23682045
34,88,134,46,0.410369349,0.410291794,1.441112907,6.500576497,6.500304927
38,78,54,120,1.727161078,1.726916471,2.620743008,37.04217536,37.03791491
11,98,97,52,0.190207075,0.190295781,1.244462823,2.422456858,2.422490071
45,80,98,57,0.766140771,0.766036718,1.902550033,14.00055034,13.99979619
48,72,97,174,2.483048615,2.482957395,2.88393169,72.96240119,72.95449587
34,74,126,90,0.873149949,0.873040132,1.910903874,16.58738398,16.5856639
28,58,147,66,0.528955122,0.528923381,1.704575975,8.810617394,8.810085909
18,78,125,153,0.835391694,0.835242306,2.155466476,13.06837688,13.06753249
23,67,60,68,0.688622185,0.688679572,1.798781475,10.42631243,10.42541381
46,89,121,149,1.75681678,1.756445338,2.660587524,47.54371746,47.53862983
33,66,77,183,2.208612322,2.208484433,2.791250468,49.90356128,49.89826076
15,70,105,196,1.031857616,1.03169012,2.481141551,15.6674836,15.66672094
28,52,65,124,1.540272897,1.540382671,2.379238875,28.99066927,28.98772596
27,58,69,122,1.402619738,1.402603064,2.270003443,25.05127511,25.04873255
21,97,127,119,0.68646937,0.686273022,1.975399413,11.07119238,11.07034522
38,86,116,107,1.116400672,1.116222181,2.178170765,23.84537442,23.84273987
14,69,60,193,1.237891781,1.237749154,2.877029342,18.4582001,18.45717102
