l1,l2,h1,w1,Lmt,Lmr,Llk,Rt,Rr
17,91,110,180,0.938892202,0.938612724,2.326986506,14.60647359,14.60549991
26,82,120,61,0.467669028,0.467648117,1.463068931,7.326394122,7.325972917
48,54,143,118,1.528968776,1.528866687,2.298341734,39.22193214,39.21838448
36,65,112,186,2.049843458,2.049676987,2.575401401,49.66662844,49.66185799
17,73,87,40,0.258680033,0.258801181,1.357376159,3.449247986,3.449206385
19,65,147,159,0.875673426,0.875579604,2.128736591,14.22407655,14.22328506
28,85,103,121,1.042276561,1.04213903,2.045656949,19.31280285,19.31081052
28,58,115,144,1.323982118,1.323903341,2.26871712,25.35247365,25.35026884
32,90,111,152,1.384968436,1.384718975,2.231339994,28.8064229,28.80346768
18,84,58,54,0.405779142,0.405776866,1.62803133,5.611797898,5.611367588
49,64,81,123,2.008543374,2.00850974,2.582862225,52.1289682,52.123881
31,80,132,31,0.267100007,0.267121368,1.317952089,3.759737998,3.759852609
29,64,64,31,0.381467719,0.381545382,1.390342247,5.299330763,5.299357089
28,95,140,129,0.922152023,0.921955307,2.00775461,17.31727065,17.31566705
42,93,147,64,0.638490477,0.638379818,1.848507619,12.04694932,12.04598887
44,88,73,40,0.55789636,0.557795106,1.789041571,8.977865642,8.977436434
38,68,51,182,2.813531532,2.813355228,3.117011095,67.82640365,67.81896833
39,98,132,82,0.795995727,0.795822776,1.874707463,15.69836375,15.69693873
15,97,87,185,0.92710037,0.92673498,2.46786928,13.88252511,13.88172291
17,79,70,193,1.305932078,1.305721243,2.743185056,20.60986344,20.60807631
17,89,140,131,0.613130841,0.612995969,1.942753655,9.273796491,9.273198106
45,58,122,145,1.902889693,1.90275269,2.526756612,50.09018639,50.08542199
40,77,104,153,1.805916904,1.805668858,2.575186994,44.20235681,44.19737686
31,53,62,73,1.00645436,1.006522771,1.961784082,17.38891464,17.38739349
39,92,88,188,2.187108745,2.186888453,2.795880071,55.10570643,55.09876592
40,67,141,60,0.646663398,0.646610197,1.892127914,11.79906814,11.79832659
30,70,51,177,2.263598401,2.263337135,2.934129437,46.19071294,46.18584024
47,75,128,65,0.812502128,0.812355451,1.819859334,16.05647224,16.05540988
40,67,77,133,1.870471276,1.870430253,2.551237213,43.83462819,43.82998441
22,63,61,145,1.42748493,1.427477317,2.597204644,24.06263346,24.0601869
17,84,79,186,1.15964142,1.159461067,2.592510256,18.1967624,18.19535872
34,69,95,46,0.525991613,0.525987693,1.577070174,8.289357809,8.289108883
40,76,91,111,1.413577476,1.413417415,2.288149941,30.90090471,30.89775029
38,51,148,133,1.408802987,1.408772138,2.407292867,32.63132429,32.62824899
15,58,50,185,1.472685041,1.472673818,2.912263356,22.14910604,22.14797436
26,66,105,106,0.931329538,0.931277422,2.008637116,16.07224228,16.07071266
48,80,79,134,2.024259882,2.024046105,2.537435252,52.83270047,52.8271844
44,91,137,158,1.684711201,1.684333998,2.662004689,44.82258391,44.81765741
46,79,76,137,2.024009554,2.023791282,2.639644475,52.44946217,52.44359056
45,79,109,84,1.073183004,1.073064654,1.91403381,22.90660641,22.9048791
29,60,120,185,1.687814226,1.68767029,2.647616969,35.51611239,35.51310384
48,95,59,112,1.733302837,1.732905916,2.560066821,41.50024208,41.49599031
28,78,100,191,1.700510846,1.700375454,2.668401059,34.89920659,34.89569995
21,77,125,58,0.370044845,0.370099445,1.51894068,5.40037901,5.399978904
48,76,75,198,3.061927166,3.061690943,3.181066133,92.72960482,92.71956134
33,89,137,190,1.60213502,1.601772542,2.65114992,37.15701438,37.15335699
19,96,75,187,1.234416867,1.234031544,2.639063153,20.55955081,20.55782707
39,94,52,133,1.81231596,1.811927976,2.744596292,40.65154238,40.64625325
46,58,106,74,1.070327947,1.070265295,1.959833479,21.98306876,21.98167799
35,87,135,128,1.156828779,1.156620546,2.237955363,24.7873772,24.78455065
15,72,138,131,0.588984288,0.588955309,2.067729323,8.641573967,8.641406475
25,70,146,164,1.133246425,1.133092728,2.33470403,21.27133502,21.26959
35,89,85,32,0.357486488,0.357472919,1.609792028,5.164619832,5.164592492
45,68,50,174,3.084631207,3.08443539,3.068500126,81.78999764,81.78201851
47,71,85,35,0.531295305,0.53123405,1.796752649,8.316654557,8.316564253
18,99,55,61,0.427411993,0.427328961,1.65952592,5.938401912,5.937725069
28,79,53,176,1.97425108,1.973963148,2.889384578,38.96282206,38.95834637
30,73,116,122,1.11098829,1.110889602,2.083060738,21.30874511,21.30660287
25,68,147,45,0.31697723,0.317041767,1.523552546,4.675133741,4.674986751
28,87,135,194,1.446602016,1.446334479,2.526379977,29.47676079,29.47415822
28,53,143,126,1.051103811,1.051137385,2.150702576,19.84676164,19.84492801
35,56,142,34,0.342256877,0.342295895,1.404024089,5.039722633,5.039741888
18,87,75,177,1.172183077,1.171947679,2.484668355,18.96502171,18.96352223
20,98,77,164,1.10966643,1.109379303,2.542668443,18.41157575,18.40961544
42,96,120,181,1.933072331,1.932703817,2.659437124,51.38355556,51.37787789
14,73,60,50,0.320317881,0.320393914,1.540725619,4.191067658,4.190929847
27,85,136,58,0.424059789,0.423947127,1.519238256,6.701101609,6.700700912
30,73,138,75,0.62338508,0.623276603,1.715696334,10.83550521,10.83472827
49,62,59,122,2.26067366,2.260595092,2.514784099,57.05670076,57.05145011
39,76,54,86,1.29634559,1.29618061,2.290375262,25.28585145,25.28322143
40,67,143,199,2.088611708,2.088326488,2.688427893,56.28905936,56.28442581
37,89,89,160,1.803812965,1.803489384,2.62657148,41.87370997,41.8688505
37,50,99,82,1.076555894,1.076641144,2.012019761,20.84459894,20.84293847
49,60,132,96,1.283329542,1.283236801,2.178300861,30.72899779,30.72631352
36,79,111,72,0.764940544,0.764879777,1.834792418,13.97418466,13.97299347
29,55,141,157,1.335629533,1.335551179,2.391225971,27.19275938,27.19052323
33,79,80,75,0.848228004,0.848134274,1.979035531,15.10473322,15.10332667
19,74,54,86,0.732471767,0.732430326,1.947941607,10.82745575,10.82636417
47,91,53,119,1.897574711,1.897237564,2.52030999,45.92847851,45.92366415
31,54,95,66,0.758093786,0.758138194,1.663589421,12.74048001,12.7397905
31,79,123,147,1.2973926,1.29720042,2.3289003,26.86225496,26.85985841
36,71,140,55,0.535953543,0.535928647,1.659967124,9.114226379,9.113601993
35,69,102,39,0.442955095,0.442985796,1.620892599,6.748715348,6.748572676
18,66,122,49,0.290462427,0.290557254,1.369113526,4.008907092,4.008891792
33,60,144,128,1.184700738,1.184644155,2.112512704,24.57141626,24.56911117
12,76,137,199,0.719198753,0.718999668,2.477827018,10.5407463,10.54042965
30,50,121,131,1.294388348,1.294384772,2.28354417,25.64746013,25.64490274
36,86,89,34,0.388866995,0.388820204,1.534709464,5.691706159,5.69174177
34,76,86,37,0.428706158,0.428671315,1.472847949,6.37229409,6.372219073
32,98,81,155,1.55026977,1.549949555,2.533897168,32.12242554,32.11849345
13,51,137,138,0.602550499,0.602606043,2.112150146,8.554214696,8.554084255
28,71,102,175,1.591738866,1.591580035,2.589437809,31.94882315,31.94578261
14,83,123,196,0.837563807,0.837297935,2.44187773,12.51780757,12.51731592
23,61,97,135,1.135445867,1.135404387,2.216211095,19.50652239,19.5049352
42,91,60,133,1.868912877,1.868626802,2.552614599,44.22122228,44.21606085
23,82,112,170,1.196629291,1.196405725,2.302829791,21.33825098,21.3362682
35,52,69,108,1.565469417,1.565534518,2.320272711,31.69243078,31.68891987
