,Lmt,Lmr,Llk,Rt,Rr
0,0.4083699420741526,0.399168584675163,1.5011338,5.725784754895807,5.378457973206064
1,1.1167829938887088,1.1132314335791924,1.9824036,23.488543596093884,22.664802653426186
2,0.715491561963047,0.7311695590477943,1.9086864,11.668498786826493,11.953331832744954
3,0.929069961271718,0.9291199950481737,2.064351,16.136305306065744,14.985822310266665
4,2.0431689941596636,2.083389853517071,2.6597598,60.4249752165742,59.451791518487425
5,0.40866406739746763,0.414260042120873,1.5891685,5.355437064416362,6.188984250218326
6,0.3922437338440728,0.3874714640584435,1.467972,6.557545071537729,6.749610002652416
7,1.2026683659776585,1.2133887630169804,2.1270928,21.706214688502957,22.74780668042781
8,0.7306158536869604,0.7104513010808845,2.0274868,11.063256420159602,9.889973307060997
9,0.9351462765828904,0.9266946019146547,2.246676,14.05530040167083,14.464503537382592
10,0.5247540001875045,0.5156104391149352,1.6705251,8.789463100596715,7.523976580471124
11,1.1471488952360183,1.1364145292669845,2.5253553,19.19841425938777,18.73766675804221
12,1.1886154508773827,1.1660504823296425,2.1937118,23.06477394252033,24.25008159131555
13,0.9740147078400131,0.9701600800975886,2.4383507,14.427466748773227,14.436584330110232
14,1.3531613852448465,1.3273734243505346,2.3021293,27.705289027148893,28.548312449171572
15,1.1815541913968133,1.1905258502843261,2.5746462,18.80686353099336,20.051904572724983
16,0.37745593613073114,0.3830530178698264,1.5906537,5.141332358982035,5.000669920366824
17,0.7393184236558882,0.7491702826889165,1.8370273,13.117808582503235,13.80953556957187
18,1.6196666780399969,1.6536013591130996,2.3971019,37.065886570234376,38.42978519007907
19,0.5548146679117484,0.552671606981129,1.6838325,7.6719866220151145,8.384990507284908
